"ID do produto","preço unitário","data da última venda","quantidade total vendida","valor total vendido"

556b548d-5643-4d06-a3f8-b8970ff5b693,15.09,"2019-11-29 14:40",11,165.99
ac1c4f03-8575-4e95-902d-716084ea4d0e,6.99,"2020-04-16 23:08",36,251.64
7a71acf4-9758-4e84-bf5f-0fa37a0b94f9,12.23,"not sold",0,0
7878c5c8-9c4d-4aae-a94d-783fb74965ac,0.8,"2022-04-10 23:57",13,10.4
61bf1e7b-2590-42b5-9bbe-5f96cc224a61,6.36,"not sold",0,0
5d3bfb6a-62e3-49e4-b004-db2f7632f402,10.35,"not sold",0,0
bad6fb44-6f40-4d47-b366-f22b72f72839,0.36,"2022-01-13 07:24",73,26.28
8e9fda3f-635d-4627-90d1-0fe5b5c1d9a0,6.08,"2020-04-16 23:08",36,218.88
718e42ca-4f3f-45ec-9625-e211586f5f63,13,"2022-10-20 18:34",79,1027
3d18bffb-5027-4001-a389-f34eef4eb88a,7.2,"2021-08-01 17:13",37,266.4
171766b5-e640-4fed-8b17-e49c01d3a9a6,4.98,"2022-01-13 07:24",59,293.82
2f0626a3-c804-4b55-b97f-4f9decc97e39,8.1,"2021-02-10 12:36",65,526.5
75f04978-147e-4a86-9029-579d9c32cdb6,13.31,"2022-01-02 18:31",123,1637.13
fd487f4c-51b2-4931-a67c-a4c60b6b9eba,6.45,"2021-02-10 12:36",81,522.45
8eb14cd8-3157-4447-b358-97c84dcc2e74,9.9,"2018-12-15 08:49",92,910.8
5c35ccbe-7b71-4bc1-8c2b-091a1cadccac,3.17,"2020-04-06 10:39",60,190.2
dfedf7f0-a442-4638-9d41-6a5536a82b17,9.46,"2022-01-02 18:31",28,264.88
490783f7-9003-4060-a3dc-78f09d861666,18.6,"2020-04-16 23:08",17,316.2
71f7b3e7-d08a-459d-8e34-2672433e5241,16.85,"2017-09-16 07:48",40,674
585e4993-319f-460b-aeb0-8eb2ce80c981,7.58,"2020-06-25 11:37",43,325.94
